dataset,v1,v2,v3,v4,v5,v6
heart2020_2_of_21,LR,NB,GB,ADA,RF,KNN
heart2020_3_of_21,ADA,GB,LR,NB,RF,KNN
heart2020_4_of_21,LR,NB,ADA,GB,RF,KNN
heart2020_5_of_21,LR,NB,GB,ADA,RF,KNN
heart2020_6_of_21,LR,NB,GB,ADA,RF,KNN
heart2020_7_of_21,LR,NB,GB,ADA,RF,KNN
heart2020_8_of_21,LR,GB,ADA,NB,RF,KNN
heart2020_9_of_21,GB,LR,NB,ADA,RF,KNN
heart2020_10_of_21,LR,ADA,NB,GB,RF,KNN
heart2020_11_of_21,LR,NB,GB,ADA,RF,KNN
heart2020_12_of_21,LR,NB,GB,ADA,RF,KNN
heart2020_13_of_21,ADA,GB,LR,NB,RF,KNN
heart2020_14_of_21,GB,LR,NB,ADA,RF,KNN
heart2020_15_of_21,LR,GB,NB,ADA,RF,KNN
heart2020_16_of_21,LR,ADA,NB,GB,RF,KNN
heart2020_17_of_21,ADA,LR,NB,GB,RF,KNN
heart2020_18_of_21,ADA,LR,NB,GB,RF,KNN
heart2020_19_of_21,ADA,LR,GB,NB,RF,KNN
heart2020_20_of_21,ADA,GB,LR,NB,RF,KNN
heart2020_21_of_21,ADA,LR,NB,GB,RF,KNN
autism_1_of_1,RF,GB,ADA,LR,NB,KNN
obesity_1_of_1,GB,RF,NB,ADA,LR,KNN
heartBeat_1_of_1,KNN,GB,ADA,RF,LR,NB
stress_1_of_1,LR,NB,RF,GB,KNN,ADA
fetalHealth_1_of_1,GB,RF,ADA,KNN,LR,NB
fetalCardio_1_of_1,RF,GB,KNN,ADA,NB,LR
diabetes2019_1_of_1,RF,GB,LR,ADA,NB,KNN
thoracic_1_of_1,RF,LR,ADA,GB,KNN,NB
preterm_1_of_1,KNN,LR,RF,GB,ADA,NB
arrhythmiaBinary_1_of_6,RF,GB,ADA,KNN,LR,NB
arrhythmiaBinary_2_of_6,RF,GB,ADA,KNN,NB,LR
arrhythmiaBinary_3_of_6,RF,GB,ADA,KNN,LR,NB
arrhythmiaBinary_4_of_6,RF,GB,ADA,KNN,NB,LR
arrhythmiaBinary_5_of_6,RF,GB,ADA,KNN,LR,NB
arrhythmiaBinary_6_of_6,RF,GB,ADA,KNN,NB,LR
cervicalCancer_1_of_1,LR,GB,RF,ADA,KNN,NB
epilepsy_1_of_1,RF,GB,NB,ADA,KNN,LR
